Bangla,English
শিশু খাদ্য ঢেকে রাখুন অন্যথায় বড়রাও ভাগ বসাতে পারে।,Cover baby food otherwise adults can  seek their share as well.
বুকের উপরে এত বড় বোঝা নিয়ে কেউ কিভাবে নিশ্বাস নেয়?,How could anyone breathe with such a big burden on the chest?
বোকাচোদা কিছু পাবলিক আছে যারা হাতে একটা মোবাইল পেলে নিজেকে সাংবাদিক ভাবে৷,There are some idiots who think they are journalists when they have a mobile on their hand.
সালার বেটা তুই যদি ভালো সাংবাদিক হইতি তাহলে জীবন এমন কাজ করতি না হলে।," If you were a good journalist, you will never do this deed.."
"আহারে, অসহায় মানুষের দল রাস্তায় ঘুমাইতে হয়।",Alas! groups of helpless people have to sleep on the streets.
সাংবাদিক থেকে এই নেশাখোর মেয়েটির কথা বেশি স্টেড ফরওয়ার্ড মনে হয়েছে।,"From the journalist, this drug addict girl seemed more stright forward."
এইসব অসভ্য সাংবাদিকদের আইনের আওতায় আনা উচিত।,These uncivilized journalists should be brought under the law.
দেশের রাস্তাঘাট পরিবর্তন হয় কিন্তু মানুষ এখনো পরিবর্তন হচ্ছে না কেন?,The country's roads are changing but people are still not changing why?
এইসব বাটপার সাংবাদিকদের আইনের আওতায় আনা উচিত।,These fake journalists should be brought under the law.
তুই তো কথাই ঠিকমত কইতে পারিস না।,You can't speak properly.
ছোটবেলা দেখতাম আলিফ লায়লা আর এখন বড় হয়ে দেখি মামুন লায়লা।,I used to watch Alif Laila when I was a child and now when I grow up I watch Mamun Laila.
কাউকে পরিপূর্ন ভাবে পাওয়া সবচেয়ে ভালো আর সম্ভব না হলে পরিপূর্ন ভাবে হারানো ভালো।,It is best to find someone completely and if that is not possible then it is better to lose them completely.
হারানোর ভয় থাকলে সেই জিনিস না ছোঁয়াই ভালো।,"If you are afraid of losing it, it is better not to touch that thing."
তোমারে অনেক ভালোবাসি কিন্তু এই কথা আজ ও তোমাকে বলতে পারছি না।,I love you so much but I couldn't tell you this today.
"ক্ষণিকের প্রেম চাইনা, সারা জীবনের ভালোবাসা হতে চাই।","I don't want a momentary love, I want to be a lifelong love."
চেষ্টা থাকলে পরেও পরিপূর্ন করা যায় আর সেটায় আনন্দটা আগের চেয়ে বড়।,"If there is an effort, it can be fulfilled later and this time the joy is bigger than previous."
আমাদের মনমানসিকতা কতটা বিকৃত হয়েছে তা মানুষের সাথে চলাফেরা করলে বুঝা যায়।,How much our mentality has been distorted can be understood by gathering with people.
হেতির লগে আর ৬ মাসের প্রেম আছিলো।,I was in a relationship with her about 6 months.
"আরে বেডা এই দশটা টাহা রাখ, পরে একটা বাটার বান খাইয়া লাইস।","Hey bro keep this ten taka, you better eat a butter bun later."
কাবিলা আজকা কি মাইরটা খাইবো রে!,How badly Kabila will be beaten today!
মেয়ে মানুষের জন্যে বন্ধুত্বে ভাঙ্গন ধরলে এই বন্ধুত্ব সহজে জোড়া লাগে না।,"For women, if a friendship breaks, this friendship is not easily attached."
"মামা আমারে অনুমতি দেন, আমি বিল্লারের হোগা বরাবর একটা পোচ দিমু।","Mama gives me permission, I will cut down billal's ass."
রোকেয়া তুই যে কে তা আমি আজও জানতে পারলাম না।,Rokeya I still did not know who you are.
হাবু এখনও পথে ঘাটে মার খায়।,"Now, Habu is being beaten by people in streets."
এই বোকাচোদা নাটকগুলা কে বানায়?,Who makes these nonsenses drama?
জাইঙ্গার ব্যবসা করার জন্য পাশা ভাই এর টাকা দরকার।,Pasha vai needs money for his underwear business.
বিদেশ থেকে আসার পরে হাবু ভাই নোয়াখলীর উঁচু বংশের মেয়ে বিয়ে করবে।,"After coming from abroad, Habu Bhai will marry a girl of an elite family from Noakhali."
কাবিলা তুই মোর আপন ভাগিনা।,"Kabila, you are my niece."
"পাশা ভালো হয়ে যা, গিফটের লাইগা আন্টিদের পিছনে ঘুরা বন্ধ করে দে।",Pasha be a good person and stop chasing for aunties to get gifts.
প্রশংসা করল নাকি অপমান করলো বুঝলাম না।,I didn't understand if he praised or insulted.
"কাবিলা তোর বেলায় সব জায়েজ, শিমুল কিছু করতে চাইলে থাপরাস কেন?","Kabila, everything is permissible for you, if Shimul wants to do something, why do you slap?"
গার্লফ্রেন্ড এর হাতে বানানো পুডিং খেতে না পেরে কাবিলার কি অবস্থা হলো দেখুন।,See what happened to Kabila after not being able to eat her girlfriend's homemade pudding.
তিনি যে কোনো সময় নাই হইয়া যাইতে পারে।,He can be gone at any time.
নাবিলা লজ্জায় লাল হয়ে গেছে।,Nabila is turned red after being blushing.
মানুষের সামনে আমাকে বেইজ্জতি করার আমার আম্মুর অভ্যাসটা কখনোই যাবেনা।,My mother's habit of humiliating me in front of people will never go away.
ভালোবেসে না পাওয়ার কষ্ট অন্য সব কষ্ট কেউও হার মানাই।,The pain of not getting after being loved can beat the all others pain.
"দাদোর মনটা একছের নরম, মাইয়া দেখলে ঠিক থাকে না।","Dado's mind is very soft, he couldnot be calm whenever he see a girl."
তুমি দেখতে অনেক সুন্দর এটার ইংরেজি কি হতে পারে?,"You look so beautiful, what can it be in English?"
গার্লফ্রেন্ড এর দেওয়া পুডিং খেতে না পেরে কাবিলার মন খারাপ।,Kabila is upset not being able to eat the pudding given by her girlfriend.
ইভা আর নাবিলা আপুরে দেখলে আমার মন ভরি যায়।,Seeing Eva apu and Nabila apu makes my heart full.
হাবু হল কাবিলার বড় ভাই আর কাবিলার মা হল হাবুর আপা।,Habu is Kabila's elder brother and Kabila's mother is Habu's aunt.
কাবিলার অতীত ফাঁস করে ভাই-ব্রাদারদের সামনে ইজ্জত ডুবিয়ে দিল শিমুল।,"By exposing Kabila's past, Shimul sinks kabila's honor in front of his brothers."
"আই শিমুলরে পাইলে আমার সামনে, ওর পাছা বরাবর একটা বড় কইরা পোছ দিমু।","If I found Shimul in front of me, I will give a big cut on his ass."
"মরুভুমির মধ্যে ছয়তলা বাড়ি, বাড়ির ভেতর মেয়ে ভূত।","A six-story house in the desert, a girl ghost inside the house."
আর কলিজা ভাঙ্গি যাইব তুমি যদি কান্দ।,My the liver will break if you cry.
ফ্রেঞ্চ ভাষা না শিখে নোয়াখালীর ভাষা শিখলে লাভ আছে জীবনে কিছু কইরা খাইতে পারবে।,"If you learn Noakhali language without learning French, you will be able to do something in life."
নায়িকার ভাবিকে ঘুমের ঔষধ খাবাইয়া কাবিলার রিহার্সাল করার প্ল্যান করতেছে।,Kabila is planning to do rehearse  by giving sleeping pills to the actress daughter-in-law.
"বড় জিনিস হাতাইলে, ছোট জিনিস মজা লাগে না।","If you have used bigger thing, you won't be entertained by small thing. ."
বান্দিরহুত হাশা তরে পাইয়া লই।,"Bastard Pasha, let me found you."
মিষ্টি মিষ্টি কথা বলে বয়ফ্রেন্ডকে ভাঙ্গায় মেয়েরা।,Girls break boyfriends with their sweet words.
কাবিলা শুভর মতো বোকাচোদা হইও না।,Kabila don't become a fool like shuvo.
"বাংলাদেশিরা ট্রল করতে এত জঘন্য যে, কারো কোন সামান্যতম সফলতা সহ্য করতে পারেনা।",Bangladeshis are so abominable to troll that they can't tolerate even the slightest success of anyone.
"টাকার লোভে ভিনদেশী বুড়ি বিয়া করছে, আর লোক সমাজে ছড়াচ্ছে ভালোবাসার টান।","For the greed of money, he had married to a foreign old women, and the people of the society is spreading that is for the seek of love."
"দেখে তো আমেরিকান মনে হচ্ছে না, মনে হয় উগান্ডা থেকে আগত।","He doesn't look like American, it looks like he came from Uganda."
"ভাই, আমারে কেউ প্রেমের টানে হোক আর যার টানে হোক ইউরোপ অথবা আমেরিকা নে।","Bro, whether it is due to love or whatever anyone take me to Europe or America."
আমাদের এলাকায় কেউ প্রেমের টানে আসতে চাইলে আমার সাথে যোগাযোগ করবেন।,"If anyone wants to come in our area due to love, must contect with me."
"দাম্পত্য জীবন যাই হোক না কেন, আগে আমেরিকা যাইতে হবে।","No matter whatever married life is like, firstly we must go America."
দুনিয়া খালী টানাটানীর খেলা।,The world is just a game of tug of war.
ভাই কি লাভ আমেরিকার ভিসা পেয়ে রাতে যদি অ্যামাজনের অন্ধকারেই থাকতে হয়।,Brother what is the benefit of getting an American visa if you have to stay in the darkness of Amazon at night.
"শালিরে আমার বাড়ির ঠিকানা দেন, কাঁচা বাঁশ দিয়ে পিডানি দিলে প্রেম ভুইলা উগান্ডা চলে যাবে।","Give the address of my house to this bitch, if I beat her with raw bamboo she will forget her love and will return to Uganda."
এখন তাকেও প্রেমের টানে অনিচ্ছা শতেও আমেরিকা যাইতে হবে।,Now he also has to go to America reluctantly due to love.
"প্রেম ভালোবাসা বলতে কিছু নেই, সব টাকা হাতিয়ে নেওয়ার ধান্দা।","There's no such thing as love now a days, it's a trick to grab all the money."
আরে পাগলা এইটা প্রেম না এইটা আমেরিকা যাওয়ার ধান্দা।,"Hey mad, this is not love, this is a plan to go to America."
পুরুষ কখনো রূপে মুগ্ধ হয় না।,Men are never impressed by looks.
আকাশ থেকে ফেনির মাটিতে পরি নেমে আইছে।,A fairy has landed from the sky on the land of Feni.
আজ মেয়েটা সুন্দর হতো তাহলে কেউই এতো ট্রল করতো না উল্টো তারে নিয়ে নাচানাচি করতো।,"If the girl was beautiful today, no one would have trolled her so much, instead they would pampering her."
ফেনীর যুবকদের রুচির দুর্ভিক্ষ চলতেছে তাই টাকার জন্য দেখি ওরা সব করতে পারে।,The youth of Feni has starvation of taste that's why they can do anything for money.
ভালোবাসা যে এত অন্ধ আমার জানা ছিল না।,I didnot know that love is so blind.
"আমেরিকা গেলে এমন বউ একটা কেন, দশটা পাওয়া যাবে।","If you go to America, why one such wife, you will get ten."
নাফীস সালিমের পডকাস্ট আবর্জনার চেয়ে ভাল কিছু হবে বলে আশা করিনাই।,Don't expect Nafees Salim's podcast to be anything better than garbage.
এর বাবা মা মনে হয় ছোট কালে ওকে টিকা দিতে ভুলে গেছে।,His parents seem to have forgotten to vaccinate him when he was young.
বাংলাদেশে যত সাংবাদিক অন্য দেশে এত জনসংখ্যাও নাই।,No country wll have that population Bangladesh population has as a Journalist.
পুরান পাগলের ভাত নাই নতুন পাগলের আমদানি।,"There is no rice for the old madman,  the new madman has arrived."
সাংবাদিক এই গুলোরে ধইরা পুটকি মারার প্রয়োজন।,These Journalists needs to be cracked down.
এই বালের নিউজ করার চেয়ে তোগো কোন কাজ কাম নাই ।,You guys have nothing to do rather than publishing this rubbish news.
তার চেহারা দেখলেই তো বুঝা যায় সে কি খায় বা না খায়।,What he eats or not it can be understood by watching his face.
নিজের মনের অনুভূতি গুলো মনেই রয়ে গেলো শুধু ইজ্জতের ভয়ে প্রকাশ করতে পারলাম না।,I could not express my inner feelings only because of the  fear of lossing honor.
আরফান নিশুকে ছাড়া মেহজাবিনকে বিধবা মনে হয়।,"Without Arfan Nishu, Mehejaben seems like an widow. "
বুইড়া লোকেই কচি মেয়ে বিয়ে করতে পারে।,Old people can marry young girl.
"কই আমিও তো টাইগার পাস এরিয়াতে থাকি, এই জুয়েলরে তো কোনোদিন দেখলাম না।","I also live in the Tiger Pass area, I have never seen this jeweler."
আমিও কিন্তু কাটা লাইনের লোক।,I am also an out of track person.
তারে দেখলে মনে হয় চোর।,He looks like a thief.
খারাপ লোকগুলো সবাইকে খারাপ মনে করে।,Bad people think everyone is bad.
যুব সমাজের ভাবমূর্তি নষ্ট করা ছাড়া আর কিছুই নেই এই নাটক গুলোতে।,There is nothing in these dramas other than spoiling the moral of youth society.
তাবিজ করে হলেও তোমাকে আমার বানিয়ে ছাড়বো প্রিয়।,"Dear, I will make you mine even if I do black magic.."
ভেবেছিলাম দুইটা বিয়ে করবো একজন রেগে গেলে আরেকজন আদর করবে।,"I thought I would marry with two person, if one gets angry, the other will take care of me."
গালা-গালির পরিমাণ দিন দিন কমে যাচ্ছে কেনো?,Why is the amount of abusing decreasing day by day?
বোরহান এর কাজ দেখে কাবিলা ভাই অবাক হয়ে গেছে।,Kabila Bhai becomes surprised to see Borhan's work.
ভাইয়া আমি কি তোমার হুকুমে চাকর?,"Brother, am I your servant?"
আমার পায়ে যেরকম জোর হাতেও সেরকম জোর।,My legs are as strong as my hands.
তুই হালারহুত হালা যদি বয়সে বড় না হইতি তাইলে তোর হোগা বরাবর আই পোছ মারি দিতাম।,If you son of a bastard wasn't my elder one then I would have give a cut on your ass.
থাপ্পর মারার পর কাবিলার অনুভূতি দেখার মতো ছিল।,Kabila's emotion after the slap was worth watching.
কি থাবড়া ডা মারলো রে তারে!,What a slap was given to you!
কাবিলা নিজেই হাতের জোড় দেখে নিজেই অবাক।,Kabila himself was surprised to see his hands power.
ভাই আমার হইতেছে না তেমন এমনকি কালকে সারাদিন এসব করার টাইম পাই নাই।,"Brother, I couldn't able to do that much even tomorrow all day I didn't have time to do any of this."
আমি শিবলী এর কথা শুইনা তোর কথা ভুইলা গেছি রে।,I forgot your words after listening to Shibly's words.
"যা তুমি দেখাও ,তার চেয়ে বেশি তোমার থাকা উচিত।",You should have more than what you showcase.
যা তুমি জানো তার চেয়ে কম কথা বলা উচিত।,You should have talked less than what you know.
"এই ছেলের মা কে,দেশের শ্রেষ্ঠ নির্লজ্জ্ব মা এর এওয়ার্ড দেওয়া উচিত।",The mother of this boy should be given the award of the best shameless mother of the country.
"বাচ্চাটা যে শৃঙ্খলা, আদর,যে মানসিক শান্তিতে বড় হতে যাচ্ছিল তা মায়ের এই ফোন,রিলস,গান,টিকটক, ফেসবুকে ডুবে থাকার কারণে হচ্ছে না।","The discipline, love, and peace of mind that the child was going to grow up in is not due to the mother being immersed in this phone, reels, music, Tik Tok, Facebook."
তুই বেডা ইজ্জতের ফালুদা বানাই দিলি একবারে।,Man you destroyed my reputation totally.
মামা হাসি আর থামাতে পারলাম না।,"Mama, I couldn't stop my laughing."
বাড়িটা তোতা মিয়ার হাত থেকে উদ্ধার হবে কি?,Will the house be rescued from the Tota Mia?
পাশা কখনো সেকেন্ড হ্যান্ড জাইঙ্গা ফিন্দেনা।,Pasha never wear used under-wear.
অমি ভাই আর কত ধৈর্য ধরবো আমরা।,"Brother, how much more patience will we have?"
কথায় কথায় আপনে এতো ইংলিশ বলেন কেনো?,Why do you speak so much English?
তুমি দেহি একছের জাইঙ্গা ঝুলায় রাখছো।,You kept a lot under-wear hanging.
পাশার আবেগ নিয়ে ছিনিমিনি খেলে না।,Pasha never plays with emotion.
পাশা সবাইকে টুপি পড়ায় আর শুভর বাপে পাশারে টুপি পরাইছে।,Pasha makes everyone fool and Shuvo making Pasha a fool.
দাদু তুমি ত এরম আছিলা না আগে কিন্তু এহন কেমন জানি টাউট হইয়া গেছো।,"Dadu, you never was like this before but now you became fraud."
এখনো সময় আছে বুঝছো তুমি ভালো মানুষ হয়ে যাও।,You still have time to beome a good person.
পাশা কাউকে থ্রেট দেয় না পাশা এর আওয়াজটাই একটা থ্রেট।,"Pasha never gives threats to anyone, his voice itself is a threat."
এত দিন পর তোর গোপন সব চুরির কেস ধরা পড়ছে।,"After so many days, all your secret theft cases are being caught."
নাটকে তৌসিফ ভাই থাকলে কাবিলা পাত্তাই পাইত না।,"If there was Tawsif in this drama, Kabila won't get any attention."
"করোনায় এতো মানুষ মারা গেলো, তুই হালা মরলি না কেন?","So many people died in Corona, why didn't you die?"
শালার তুই তো দেখি মাইর এমনিতে খাস না।,"Scoundrel, you are not beaten without any reason."
গানটা শোনার পরে দুই তিন ঘন্টা অজ্ঞান ছিলাম।,I was unconscious for two or three hours after listening to the song.
"এই বুকা কাঁদিস না, আমি আছি তর পাশে।","Don't cry fool, I'm by your side."
একে দ্রুত চিড়িয়াখানায় হস্তান্তর এর জোর দাবি জানাচ্ছি।,I strongly demand that it be transferred to the zoo as soon as possible.
"আহা গো সোনা গো,আর কান্না থামাতে পারছিনা গো।","Oh dear, I can't stop crying."
তোমরা এই মানুষটা কে ছোট করে দেইখো না।,You guys don't underestimate this man.
তোমার গান শুনে আমি ঠিক মত তিন দিন যাবত খাইতে পারিনা তাই বলতেছি তুমি আর গান গাইও না।,"I can't eat properly for three days after listening to your song, so I'm telling you not to sing anymore."
আমাগো উচিত তারে ধার কইরা হলেও নোবেল দেওয়া।,We should give him a Nobel even if we borrow him.
আমি ধীরে ধীরে একজন আবেগহীন মানুষ হয়ে যাচ্ছি।,I am slowly becoming an emotionless person.
হিরো আলম তোর জন্য জীবনটা তেজপাতা হয়ে গেলো কিন্তু তুই আর ভালা হইলি না।,Our life become miserable only because of you Hero Alom but you never became a decent person.
আমি বুঝি না এতো কষ্টের মাঝেও তোদের এতো হাসি আসে কিভাবে!,I do not understand how you smile so much in the midst of so much trouble!
হিরো আলম গাইতে থাক তুই কারো কথা শুনবি না।,"Hero Alam, you continued singing don't listen to anyone."
তোর এই রকম চাচাতো ভাই থাকলে জীবন ছারখার।,"If you have a cousin like that, life sucks."
তুমি ঢাকা শহরে কি সব করো কাকারে বইল্লা দিবো।,"What you do in the city of Dhaka, I will tell everthing to uncle."
পলাশের তোতলানোর কারনেই ৪৫ মিনিটের নাটক ১ ঘন্টা হয়ে গেসে।,A 45 minute drama turned into an hour due to Palash's stuttering.
"সব বাটপার যখন একসাথে, নাটক তো অস্থির হবেই। ","When all the butts are together, the drama will be unsettling."
ট্রেইলার দেখে যতটা হাসি পেয়েছিল এখন নাটকটি দেখে তার চেয়ে বেশি হাসি পেয়েছে।,I got more laughs from watching the trailer than watching the drama now.
ওমাগো স্যার নি! আপনে নিচে বসলে তো হোগা গরম হয়ে যাইবো।,"Oh my God, Sir! if you sit down on the floor, you ass will get hot."
এই নাটকটা পুরাই কাপিয়ে দিয়েছে বাংলা সিনেমাকেও হার মানিয়েছে।,This drama has completely beaten Bengali cinema.
"হায়রে পলাশ, তুই আমারে হাসাইয়া মারলি। ","Palash, you made me laugh."
"বিশ্বাস করেন ভাই এই নাটকটা যদি সিনেমা হলে রিলিজ হইতো, দর্শকের হাসির চোটে হাসতে হাসতে সিনেমা হল উড়ে যাইতো।","Brother, believes that if this drama was released in cinemas, the cinemas would have been blown away by the laughter of the audience."
"আরে মিয়া কিসের বলিউডের মুভি,বাংলাদেশের নাটক বিশ্বসেরা।","Hey Brother, what the hell is that bollywood movie, only Bangladesh drama world best."
আর একটা নাটকে যদি এতগুলি বদমাইশ থাকে তাহলে মানুষ হাসতে হাসতে হার্টফেল করব।,"And if there are so many comedians in a play, people will have heart-fail by laughing badly."
লাস্টের দিকের গ্যাঞ্জামটা হেব্বি জোস হইছে।,"Towards the end, the riot was great."
ভাতিজা আমরা যখন ক্লাস ছাড়ছি তখন তোমরা ফোটোই নাই।,"Nephew, when we are leaving the class, you are not born."
ব্যাটারি গলির গেঞ্জাম হইসে সেরা গেঞ্জাম।,Battery gollir riot is the best riot ever.
"আমার মা আছে,বাপ আছে,ভাই আছে,বইন আছে এখন বউ না থাকলে কি মানুষ এতিম হয়?","I have a mother, a father, a brother, a wife. Now, if there is no wife, are people orphans?"
যেখানেই শিমুল থাকুক না কেন সেখানেই শুধু মানুষের হাতে মারখাই।,Shimul only get beaten by people wherever he lives.
এই এলাকায় গেঞ্জাম করে হালাই কে রে?,Who is the scoundrel rioting in this area?
শিমুলের জীবনটা কি শুধু মার খাইতে খাইতে যাইবো না কি বুঝলাম না।,I don't understand whether Shimul's life is just going to be beaten.
লাবু ভাইয়ের অবস্থা দেখে আমি হাসতে হাসতে খাট থেকে পরে গেছি।,"After seeing Labu Bro's condition, I fell out of bed laughing."
কাকিরে সুস্থ দেইখা খুব ভাল্লাগতেছে।,I am feeling good to see aunty healthy.
পাছার মধ্যে গুলি লাগার দৃশ্যটা জটিল ছিলো।,The shot in the ass scene was on the next level.
আরে হোন রাত ১২টার পরে নেটের স্পিড একটু বাড়াই দিস।,"Hey listen, please increase the speed of the net after 12 o'clock at night."
"কি কমো ভাই, আমার দেশের নাটক তো সিনেমাকে হার মানায়।","What else would I say, my country's drama is inferior to cinema."
"এক মেয়ের সাথে সবার চ্যাটিং করা দেখেই বুঝচ্ছি যে, কেউ মেয়ে সেজে ফাইজলামি করতেসে।","By seeing everyone chatting with one girl, I understand that someone is doing fun with others by pretending to be a girl."
বোরহান গুলিটা খাইলো কোন জায়গায়?,Where did Borhan get shooted?
এই নাটকের বেষ্ট চরিত্র বডি সোহেল হালায় কথার আগেই মাইর।,The best character of this play is Bodybuilder Sohel who beats first then listen.
গালাগালি গুলো একটু কম হলে নাটক টা আরো ভাল হয়।,"If the abusive word is a little less used, the drama will be better."
যত নাটকই দেখি না কেনো সিকান্দার বক্স এর মতো নাটক আর চোখে পড়েনা।,"No matter how many dramas I watch, I don't see dramas like Sikandar Box."
সব হালায় বকা খায় আর অন্যদিকে টুটুল ভাই দেইখা মজা নেয়।,All the people are being scolded and on the other hand Tutul Bro's is having fun by watching them.
বোরহানের কি সব সময় পাছয় আঘাত পায়?,Does Borhan always get hurted on his ass?
"আমাদের কোলকাতা নাটকের সংসার ভাঙ্গা শিখায়, আর বাংলাদেশের নাটকে সংসার জোড়া লাগানো শিখায়।","Our Kolkata drama teaches us to break the family, and Bangladeshi drama teaches us to put the family together."
কখন যে শেষ হয়ে গেল টেরই পেলাম না।,I did not realize when it was over.
যাদের মন খারাপ থাকে তাদের সবসময় ফিমেল সিরিজ নাটকগুলা দেখা উচিত মন রিফ্রেশ হয়ে যাবে।,"Those who are depressed should always watch female series dramas, the mind will be refreshed."
"ফিমেল সিরিজ নাটকগুলা পুরো হাসির কারখানা, যে দেখবে মন ভালো হয়ে যাবে।","Female series dramas are a total laugh factory, which will make you feel better."
আমাদের মতো হাজার হাজার  প্রবাসিদের মন ভালো করার জন্য অমি ভাইয়ের নাটকের তুলনা নাই।,Ami Bhai's drama is unmatched for cheering the hearts of thousands of expatriates like us.
নাটকটা আগের মতো জমলো নাহ।,The play is not as good as before.
আরে লাবু মিয়া যে রাইত বিরাইতে কি সার্চ দেয় এটাতো আমি অফিসে বইয়া দেখি।,What Labu Mia searches at night I can see it sitting at my office.
এতদিন তোমার আশায় থাকতে থাকতে বিয়ে করে ফেলছি।,I am getting married after being waited for you so long.
ওর থানা কি? ওয়ার্ড কি? ক আমারে ওরে টাইন্না লইয়ামু।,What is his police station? What is his ward? tell me I will pull him here.
এই শালারপুতে কোনো কথা কইলো না।,This scoundrel didn't say anything.
কেউ কি খেয়াল করছেন কাবিলার গেঞ্জিতে কি লেখা?,Has anyone notice what has written in Kabila's T-shirt.?
ফালতু একটা নাটক আগা মাথা নাই কোনো।,There is no sense in this useless play.
এবারের ঈদে ঘুরতে না গেলেও এই নাটকের দেখার মাধ্যমে ঘুরার কষ্টটা দূর হয়ে গেল।,"Even if I could not travel this Eid, the pain of traveling was removed by watching this drama."
কেন জানি শিমুল কে ছাড়া নাটক শূন্য শূন্য লাগে।,Why do the drama feels empty without Shimul.
ফারিয়ার অভিনয় দেখে তার কথা মনে পরলো কিন্তু এখন তাকে শতবার চাইলেও আর আগের মতো পাবো নাহ।,Faria's performance reminded me of her but now I can't get her like before even if I ask for her a hundred times.
কাবিলা ভাই তো ইদানিং মাঠ-ঘাট কাপাই দিতাছে।,Kabila Bhai is recently nailing everything.
"কাঁদতে দেখিনি তবে ঘামতে দেখেছি, তিনি হলেন বাবা।","I didn't see him crying but I saw him sweating, he is the father."
হাজারো ঝগড়ার পর সবাই এক হয়ে যাওয়ার নামই বন্ধুত্ব ।,"After thousands of quarrels, everyone gets united, that is known as friendship."
প্রসঙ্গ যখন গরিব দুঃখি মানুষের মুখে হাসি ফোটানোর তখন ফিরোজ ভাই সেরা।,Feroz Bhai is the best when it comes to bringing smiles to the faces of poor and sad people.
নাটকটি দেখে আজ এই মন খারাপের ঘুমহীন রাতটি ভালোয় কাটলো।,"Watching the drama, this sad sleepless night was well spent today."
আসলেই সত্যিকারের ভালোবাসলে যতকিছু হোক একজন ছাড়া আরেকজন থাকতে পারে না।,"If you truly love, no matter what, you can't live without one another."
"পুরাটা নাটক জুড়ে হাসালেন, আর শেষে কাঁদিয়ে দিয়ে মন জয় করে নিলেন।","He make us laugh throughout the play, and won hearts by crying us at the end."
ঈদের দিন কে কে পিক তোলো নাই এবং শুয়ে বাসে কাটিয়েছেন তাঁরা শুধু হাত তুলেন।,"On the day of Eid, who didn't capture picture and spent the day laying or sitting, they just raised their hands."
পলাশ ভাইয়ের কথা গুলো একদম কলিজাতে গিয়ে লাগার মতো।,Pasha vai's words totally touches our heart.
তুমি মিয়া কান্দাইয়া আবার চোখে পানি থাকা অবস্থায় হাসাইয়াও দিলা।,You made us cry and again made us smile with tears in our eyes.
"বহুদিন ধরে মন খুলে হাঁসি নাই, আজকে অনেক হাসলাম আর অনেক ভাল লাগল।","I haven't laughed out loud for a long time, I laughed a lot today and it felt good."
এই নাটকটা দেখে তার কথা মনে পরে গেলো ইস যদি আমরা ওহ এই ভাবে এক হয়ে যেতাম কতই না ভালো হইতো।,"Watching this drama reminded me of his words, oh how good it would be if we were united like this."
"আজ একটা বন্ধুত্বের নাটক দেখলাম অনেকদিন বাদে, মনের ভিতরটা অনেকটা হালকা হয়ে এলো।","Today I saw a drama over friendship after a long time, my heart became much lighter."
তোর সব কথাটা আমার কলিজায় গিয়ে লাগছে।,All of your words touched our heart.
ফিরে গিয়েছিলাম ৩৪ বছর আগের সেই দিনগুলোতে এবং অনুভূতির সেই উদ্দাম দিনগুলোতে।,I went back to those days 34 years ago and those heady days of feeling.
ফারিয়া আর সামির ঝগড়া দিয়ে শুরু করা নাটকটা শেষের দিকে এভাবে চোখের পানি বের করে দিবে ভাবতেই পারিনি।,I couldn't have imagined that the drama that started with Faria and Sami's fight would bring out tears like this at the end.
"তুই আমাকে জড়ায়া ধরছিস কেন,আমি কি তোর গার্লফ্রেন্ড?","Why are you holding me, am I your girlfriend?"
"বন্ধুত্বের ভালোবাসা এমনই হওয়া উচিত, আড্ডা হবে, ঝগড়া হবে, মাস্তি হবে কিন্তু কেউ কাউকে ছেড়ে যাবে না। ","The love of friendship should be like that, there will be chats, quarrels, fun but no one will leave anyone."
"খুব ভালো লাগলো নাটকটি দেখে, সত্যি মনটা খুব চাঙ্গা হয়ে গেল।","It was very nice to see the drama, it really cheered me up."
"নাটকটা মন ছুঁয়ে গেল,পলাশ ভাইয়ের অভিনয় দেখে একদম চোখে পানি এসে গেল।","The drama touched my heart, tears came to my eyes after seeing Palash Bhai's performance."
নাটকটা দেখার পরে এতটুকু বলতে পারি গলা উঁচু করে বাংলাদেশের ছায়াছবি থেকে নাটকগুলো অনেক উর্ধে।,"After watching the drama, I can say that the dramas are much higher than the films of Bangladesh."
ইবানাকে পলাশ যখন জড়িয়ে ধরলো তখন শরীরের লোম দাঁড়ায় গেছে পুরা।,When Palash hugged Ibana that moment the body hair stood on.
ফারিয়া আর সামির জড়ানো সিনটা আমাকে প্রিয় মানুষটাকে মিস করাই দিলো খুব করে।,The hugging scene between Faria and Sami made me miss my beloved man a lot.
নাটকের প্লটগুলো নাটকের চেয়েও নাটকীয়।,Drama plots are more dramatic than drama.
"ভালোবাসা জিনিস টা কি আজব তাই না, যখন থাকে তখন কতো সুন্দর মনে হয় পৃথিবীটা আর যখন ভেঙ্গে যায় তখন মনে পৃথিবীটা বুঝি বড়ই সার্থপর।","Love is a strange thing, isn't it, when it exists, the world seems so beautiful and when it is broken, the world seems so selfish."
সবাই যদি অভিমান ভুলে তার আপনজনকে এভাবে কাছে টেনে নিতো তাহলে আর এতোটা জীবন্ত লাশ আর ঘুঁরে বেড়াতো না চারপাশে।,"If everyone would forget their pride and pull their loved ones close like this, then there would not be so many living corpses roaming around."
নাটকটা দেখে হাসি থামাতেই পারছি না আর পাশের রুম থেকে আব্বু আম্মু বলছে কিরে পাগল হয়ে গেলি নাকি।,"I can't stop laughing after watching the drama and from the next room, father and mother are saying, ""Are you crazy?"""
